loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state
2500,2500,2500, 36 months,13.56,84.92,C,C1,Chef,10+ years,RENT,55000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,109xx,NY
30000,30000,30000, 60 months,18.94,777.23,D,D2,Postmaster ,10+ years,MORTGAGE,90000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,713xx,LA
5000,5000,5000, 36 months,17.97,180.69,D,D1,Administrative,6 years,MORTGAGE,59280,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,490xx,MI
4000,4000,4000, 36 months,18.94,146.51,D,D2,IT Supervisor,10+ years,MORTGAGE,92000,,Dec-18,Current,debt_consolidation,Debt consolidation,985xx,WA
30000,30000,30000, 60 months,16.14,731.78,C,C4,Mechanic,10+ years,MORTGAGE,57250,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,212xx,MD
5550,5550,5550, 36 months,15.02,192.45,C,C3,Director COE,10+ years,MORTGAGE,152500,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,461xx,IN
2000,2000,2000, 36 months,17.97,72.28,D,D1,Account Manager,4 years,RENT,51000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,606xx,IL
6000,6000,6000, 36 months,13.56,203.79,C,C1,Assistant Director,10+ years,RENT,65000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,460xx,IN
5000,5000,5000, 36 months,17.97,180.69,D,D1,Legal Assistant III,10+ years,MORTGAGE,53580,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,327xx,FL
6000,6000,6000, 36 months,14.47,206.44,C,C2,,< 1 year,OWN,300000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,068xx,CT
5500,5500,5500, 36 months,22.35,211.05,D,D5,,< 1 year,MORTGAGE,50000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,711xx,LA
28000,28000,28000, 60 months,11.31,613.13,B,B3,Consultant,2 years,MORTGAGE,70000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,300xx,GA
11200,11200,11200, 36 months,8.19,351.95,A,A4,Job Coach Supervisor,10+ years,MORTGAGE,65000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,840xx,UT
6500,6500,6500, 36 months,17.97,234.9,D,D1,Quality Field Engineer,4 years,,154000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,278xx,NC
22000,22000,22000, 60 months,12.98,500.35,B,B5,Teller ,10+ years,MORTGAGE,,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,413xx,KY
3500,3500,3500, 36 months,16.14,123.3,C,C4,respritory therapist,10+ years,MORTGAGE,80000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,604xx,IL
7000,7000,7000, 36 months,12.98,235.8,B,B5,Worship Director,4 years,MORTGAGE,102500,Not Verified,Dec-18,Current,house,Home buying,436xx,OH
25000,25000,25000, 60 months,16.91,620.11,C,C5,Processor ,10+ years,MORTGAGE,23878,,Dec-18,Current,debt_consolidation,Debt consolidation,453xx,OH
16000,16000,16000, 60 months,20.89,431.87,D,D4,Neonatal Nurse Practitioner,4 years,MORTGAGE,,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,720xx,AR
13000,13000,13000, 60 months,14.47,305.67,C,C2,Stationary Engineer,10+ years,MORTGAGE,75000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,741xx,OK
10000,10000,10000, 36 months,13.56,339.65,C,C1,,< 1 year,MORTGAGE,65000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,937xx,CA
13000,13000,13000, 36 months,14.47,447.29,C,C2,Exhibits director,10+ years,MORTGAGE,55000,Verified,Dec-18,Current,credit_card,Credit card refinancing,611xx,IL
9600,9600,9600, 36 months,23.4,373.62,E,E1,driver coordinator ,9 years,RENT,65000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,265xx,WV
3500,3500,3500, 36 months,20.89,131.67,D,D4,gas attendant,10+ years,,40000,Source Verified,Dec-18,Current,car,Car financing,078xx,NJ
16000,16000,16000, 60 months,26.31,481.99,E,E4,Financial Relationship Associate,< 1 year,RENT,33000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,290xx,SC
15000,15000,14975, 60 months,14.47,352.69,C,C2,,,,30000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,756xx,TX
13000,13000,13000, 36 months,23.4,505.95,E,E1,Sale Representative,2 years,,90000,Verified,Dec-18,Current,other,Other,191xx,PA
23000,23000,23000, 60 months,20.89,620.81,,,Operator,5 years,RENT,68107,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,672xx,KS
8000,8000,8000, 36 months,23.4,311.35,E,E1,Manager,10+ years,OWN,43000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,357xx,AL
32075,32075,32075, 60 months,11.8,710.26,B,B4,Nursing Supervisor,10+ years,,150000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,231xx,VA
12000,12000,12000, 60 months,13.56,276.49,C,C1,,< 1 year,MORTGAGE,40000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,180xx,PA
10000,10000,10000, 60 months,19.92,264.5,D,D3,Material Handler,10+ years,MORTGAGE,80000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,648xx,MO
16000,16000,16000, 60 months,17.97,406.04,D,D1,Instructional Coordinator,5 years,MORTGAGE,51000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,284xx,NC
3300,3300,3300, 36 months,23.4,128.44,E,E1,Program Manager,3 years,,49700,Source Verified,Dec-18,Current,vacation,Vacation,310xx,GA
20000,20000,20000, 60 months,11.8,442.88,B,B4,,,MORTGAGE,47590,Verified,Dec-18,Current,credit_card,Credit card refinancing,156xx,PA
3500,3500,3500, 36 months,20.89,131.67,,,Budget & Procurement Specialist,10+ years,RENT,33190,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,850xx,AZ
12000,12000,12000, 36 months,26.31,485.48,E,E4,,5 years,OWN,19000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,628xx,IL
10000,10000,10000, 36 months,20.89,376.19,D,D4,Foreman shop ,7 years,RENT,74000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,114xx,NY
6000,6000,5975, 36 months,6.46,183.79,A,A1,Substance Abuse Counselor,1 year,MORTGAGE,40000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,750xx,TX
25000,25000,25000, 60 months,27.27,767.43,E,E5,Business Intelligence Engineer,5 years,MORTGAGE,171000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,980xx,WA
20000,20000,20000, 36 months,12.98,673.69,B,B5,FC,5 years,RENT,74800,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,618xx,IL
2200,2200,2200, 36 months,15.02,76.29,C,C3,,,RENT,70000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,871xx,NM
25000,25000,25000, 60 months,17.97,634.43,,,Information technology ,7 years,RENT,53000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,368xx,AL
4000,4000,4000, 36 months,11.8,132.48,,,,,RENT,20000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,151xx,PA
1250,1250,1250, 36 months,23.4,48.65,E,E1,BANKER,10+ years,RENT,52000,Source Verified,Dec-18,Current,other,Other,477xx,IN
10400,10400,10400, 36 months,12.98,350.32,B,B5,Program Support Assistant ,10+ years,MORTGAGE,56099,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,800xx,CO
7500,7500,7475, 36 months,11.8,248.4,,,,,,32700,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,716xx,AR
7000,7000,6975, 36 months,10.72,228.25,,,Business Analyst,< 1 year,MORTGAGE,97000,Source Verified,Dec-18,Current,other,Other,201xx,VA
25000,25000,25000, 36 months,12.98,842.11,B,B5,,,OWN,30000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,028xx,RI
8000,8000,8000, 36 months,11.8,264.96,B,B4,Program Manager,7 years,MORTGAGE,85000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,366xx,AL
9000,9000,9000, 36 months,10.33,291.81,B,B1,Millwright,4 years,MORTGAGE,75000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,549xx,WI
9600,9600,9600, 36 months,15.02,332.89,C,C3,Fuel truck driver,10+ years,OWN,60000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,087xx,NJ
8000,8000,8000, 36 months,10.72,260.86,B,B2,Publications and Images Project Manager,10+ years,MORTGAGE,82923,Source Verified,Dec-18,Current,car,Car financing,802xx,CO
12000,12000,12000, 36 months,16.14,422.72,C,C4,Trainer,6 years,RENT,24000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,857xx,AZ
20000,20000,20000, 36 months,13.56,679.29,C,C1,Armed Security officer,9 years,MORTGAGE,40000,,Dec-18,Current,debt_consolidation,Debt consolidation,064xx,CT
40000,40000,40000, 60 months,14.47,940.51,C,C2,,< 1 year,MORTGAGE,500000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,302xx,GA
14400,14400,14400, 60 months,14.47,338.59,C,C2,Director,3 years,RENT,110000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,920xx,CA
22400,22400,22400, 36 months,8.81,710.34,A,A5,Manager,2 years,MORTGAGE,30000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,062xx,CT
25000,25000,25000, 36 months,10.33,810.56,B,B1,Agent,2 years,OWN,78000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,371xx,TN
26000,26000,26000, 60 months,18.94,673.6,D,D2,Mortgage loan processor,10+ years,MORTGAGE,40000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,486xx,MI
25000,25000,25000, 60 months,15.02,595.02,C,C3,CFO ,10+ years,MORTGAGE,63500,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,287xx,NC
1000,1000,1000, 36 months,30.75,42.87,F,F5,,,,50000,Verified,Dec-18,Current,other,Other,604xx,IL
2000,2000,2000, 36 months,8.19,62.85,A,A4,Laborer,4 years,MORTGAGE,,,Dec-18,Current,credit_card,Credit card refinancing,154xx,PA
9000,9000,8975, 36 months,6.46,275.68,A,A1,Driver,10+ years,MORTGAGE,35000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,068xx,CT
20000,20000,20000, 36 months,13.56,679.29,C,C1,Lead Transportation Security Officer,10+ years,,98500,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,946xx,CA
29450,29450,29450, 36 months,8.19,925.44,A,A4,General Manager,10+ years,MORTGAGE,161000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,933xx,CA
34625,34625,34625, 60 months,16.14,844.6,C,C4,Vice President,10+ years,MORTGAGE,137500,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,779xx,TX
31450,31450,31450, 36 months,7.56,979.16,A,A3,Construction Manager,7 years,MORTGAGE,130000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,895xx,NV
15500,15500,15500, 36 months,10.72,505.4,B,B2,Administrative Assistant ,10+ years,RENT,52000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,925xx,CA
12000,12000,12000, 36 months,11.8,397.43,,,Transportation Manager,10+ years,RENT,79365,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,104xx,NY
36000,36000,36000, 60 months,17.97,913.58,,,Pharmacist,9 years,RENT,160000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,021xx,MA
30000,30000,30000, 36 months,16.14,1056.79,C,C4,Structural Engineer,7 years,MORTGAGE,116000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,774xx,TX
3000,3000,3000, 36 months,17.97,108.42,D,D1,IT Assistant,10+ years,RENT,50000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,104xx,NY
35000,35000,35000, 36 months,12.98,1178.96,B,B5,Anti Money Laundering Compliance Manager,2 years,RENT,112000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,606xx,IL
26500,26500,26500, 60 months,11.31,580.28,,,Compliance Director,10+ years,MORTGAGE,134000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,747xx,OK
4000,4000,4000, 36 months,23.4,155.68,E,E1,Security,3 years,RENT,90000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,070xx,NJ
12000,12000,12000, 60 months,22.35,333.82,,,Header operator ,< 1 year,OWN,65000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,611xx,IL
3000,3000,3000, 36 months,15.02,104.03,C,C3,Banker ,4 years,MORTGAGE,60000,Source Verified,Dec-18,Current,home_improvement,Home improvement,104xx,NY
8000,8000,8000, 36 months,14.47,275.26,C,C2,Warehouse Associates,4 years,RENT,42300,,Dec-18,Current,credit_card,Credit card refinancing,405xx,KY
10250,10250,10250, 36 months,10.72,334.22,B,B2,Teacher,10+ years,MORTGAGE,96000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,919xx,CA
22400,22400,22400, 60 months,16.14,546.4,C,C4,Paramedic/ Fire Fighter,10+ years,OWN,56000,,Dec-18,Current,credit_card,Credit card refinancing,234xx,VA
27000,27000,27000, 60 months,15.02,642.62,C,C3,Supervisor ,10+ years,MORTGAGE,45000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,656xx,MO
24000,24000,24000, 36 months,19.92,890.95,D,D3,overnight supervisor,7 years,RENT,30000,Verified,Dec-18,Current,credit_card,Credit card refinancing,752xx,TX
6500,6500,6500, 36 months,10.72,211.95,B,B2,Dealer ,< 1 year,RENT,50000,,Dec-18,Current,debt_consolidation,Debt consolidation,902xx,CA
25000,25000,25000, 36 months,16.91,890.2,C,C5,OFFICE MANAGER,10+ years,RENT,95000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,906xx,CA
8000,8000,8000, 36 months,10.72,260.86,B,B2,Goldsmith,2 years,RENT,95000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,612xx,IL
21000,21000,21000, 60 months,15.02,499.81,C,C3,Lpn,5 years,,,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,444xx,OH
10000,10000,10000, 36 months,14.47,344.07,C,C2,Teacher ,10+ years,RENT,47000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,283xx,NC
